iter	Passed	Remaining
0	165	165734
1	167	83668
2	169	56248
3	170	42561
4	172	34357
5	174	28838
6	175	24958
7	177	21985
8	178	19639
9	179	17759
10	180	16226
11	181	14947
12	182	13849
13	183	12907
14	184	12090
15	184	11376
16	185	10744
17	186	10177
18	187	9671
19	188	9227
20	188	8810
21	189	8431
22	190	8082
23	190	7764
24	191	7471
25	192	7202
26	193	6956
27	193	6720
28	194	6501
29	194	6295
30	195	6103
31	195	5923
32	196	5754
33	196	5595
34	197	5445
35	198	5304
36	198	5170
37	199	5043
38	199	4922
39	200	4808
40	200	4698
41	201	4595
42	202	4499
43	202	4408
44	203	4320
45	204	4235
46	204	4152
47	205	4072
48	205	3995
49	206	3922
50	207	3852
51	207	3784
52	208	3719
53	208	3656
54	209	3596
55	209	3539
56	210	3483
57	211	3429
58	211	3377
59	212	3326
60	212	3277
61	213	3230
62	214	3187
63	214	3142
64	215	3099
65	216	3057
66	216	3017
67	217	2981
68	218	2943
69	218	2905
70	219	2868
71	219	2832
72	220	2797
73	220	2763
74	221	2730
75	221	2698
76	222	2666
77	222	2635
78	223	2605
79	224	2576
80	224	2548
81	225	2520
82	225	2490
83	226	2464
84	226	2439
85	227	2414
86	227	2390
87	228	2366
88	228	2343
89	229	2320
90	230	2298
91	230	2277
92	231	2256
93	232	2237
94	232	2217
95	233	2199
96	234	2180
97	234	2160
98	235	2141
99	235	2122
100	236	2103
101	236	2085
102	237	2067
103	238	2050
104	238	2033
105	239	2016
106	239	2000
107	240	1984
108	240	1968
109	241	1953
110	242	1938
111	242	1923
112	243	1908
113	243	1893
114	244	1879
115	244	1865
116	245	1850
117	245	1836
118	246	1823
119	246	1811
120	247	1798
121	248	1785
122	248	1772
123	249	1760
124	249	1747
125	250	1735
126	250	1722
127	251	1711
128	251	1699
129	252	1688
130	252	1676
131	253	1665
132	253	1655
133	254	1644
134	255	1633
135	255	1624
136	256	1613
137	256	1603
138	257	1593
139	257	1584
140	258	1574
141	258	1563
142	259	1554
143	259	1544
144	260	1535
145	260	1526
146	261	1519
147	262	1510
148	262	1501
149	263	1493
150	264	1484
151	264	1476
152	265	1468
153	265	1460
154	266	1452
155	267	1444
156	267	1436
157	268	1429
158	268	1421
159	269	1413
160	269	1405
161	270	1397
162	270	1390
163	271	1383
164	271	1375
165	272	1368
166	272	1361
167	273	1354
168	274	1347
169	274	1341
170	275	1334
171	275	1327
172	276	1322
173	277	1316
174	277	1310
175	278	1304
176	279	1298
177	279	1292
178	280	1286
179	281	1280
180	281	1273
181	282	1267
182	282	1261
183	283	1256
184	284	1251
185	284	1245
186	285	1239
187	285	1234
188	286	1228
189	286	1222
190	287	1217
191	287	1211
192	288	1206
193	289	1201
194	289	1195
195	290	1190
196	290	1185
197	291	1181
198	292	1176
199	292	1171
200	293	1167
201	294	1161
202	294	1156
203	295	1151
204	295	1146
205	296	1141
206	296	1137
207	297	1132
208	297	1127
209	298	1122
210	299	1118
211	299	1114
212	300	1109
213	300	1105
214	301	1100
215	302	1096
216	302	1091
217	303	1087
218	303	1083
219	304	1078
220	304	1074
221	305	1070
222	306	1067
223	307	1064
224	308	1061
225	308	1057
226	309	1053
227	310	1049
228	310	1045
229	311	1042
230	311	1038
231	312	1034
232	313	1030
233	313	1026
234	314	1022
235	314	1018
236	315	1015
237	315	1011
238	316	1007
239	316	1003
240	317	1000
241	318	996
242	318	992
243	319	989
244	319	985
245	320	982
246	321	979
247	321	976
248	322	973
249	323	969
250	323	966
251	324	962
252	325	959
253	325	956
254	326	954
255	327	950
256	327	947
257	328	944
258	328	941
259	329	937
260	330	934
261	330	931
262	331	928
263	331	925
264	332	921
265	332	918
266	333	915
267	334	912
268	334	909
269	335	906
270	335	903
271	336	901
272	337	898
273	338	895
274	338	893
275	339	890
276	340	887
277	340	885
278	341	882
279	342	879
280	342	876
281	343	874
282	344	871
283	344	869
284	345	866
285	346	863
286	347	862
287	347	859
288	348	857
289	349	854
290	349	851
291	350	849
292	351	847
293	351	844
294	352	842
295	353	839
296	353	837
297	354	834
298	355	832
299	355	829
300	356	827
301	356	824
302	357	822
303	358	820
304	358	817
305	359	815
306	360	813
307	361	812
308	362	810
309	363	808
310	363	806
311	364	803
312	365	801
313	366	800
314	367	798
315	367	795
316	368	794
317	369	791
318	369	789
319	370	787
320	371	785
321	372	783
322	372	781
323	373	779
324	374	777
325	375	775
326	376	774
327	376	772
328	377	770
329	378	769
330	379	767
331	380	765
332	381	763
333	381	761
334	382	759
335	383	757
336	383	755
337	384	753
338	385	751
339	385	748
340	386	746
341	386	744
342	387	742
343	388	740
344	389	739
345	390	738
346	391	736
347	392	734
348	392	732
349	393	730
350	393	728
351	394	726
352	395	724
353	396	722
354	396	721
355	397	719
356	398	717
357	398	715
358	399	713
359	400	711
360	400	709
361	401	707
362	401	705
363	402	703
364	403	701
365	404	701
366	405	699
367	406	697
368	407	696
369	407	694
370	408	692
371	408	690
372	409	688
373	410	686
374	411	685
375	411	683
376	412	681
377	413	679
378	413	678
379	414	676
380	415	674
381	415	672
382	416	670
383	417	668
384	417	667
385	418	665
386	419	664
387	420	662
388	421	661
389	422	660
390	422	658
391	423	657
392	424	655
393	425	653
394	425	651
395	426	650
396	426	648
397	427	646
398	427	644
399	428	642
400	429	641
401	429	639
402	430	637
403	430	635
404	431	634
405	432	632
406	433	632
407	434	630
408	435	629
409	436	627
410	436	625
411	437	623
412	437	622
413	438	620
414	439	619
415	439	617
416	440	615
417	440	613
418	441	612
419	442	610
420	442	608
421	443	607
422	443	605
423	444	603
424	445	602
425	445	600
426	446	598
427	446	597
428	447	596
429	448	594
430	449	592
431	450	591
432	451	590
433	451	589
434	452	587
